horizon,sharpe,sortino,max_drawdown,profit_factor,hit_rate,calmar,total_return,n_trades,mean_return,std_return
15m,2.0882420417063368,2.966822064509291,0.06948475539684296,1.0516606569290161,0.5170233105375395,5.801442623138428,0.26377177238464355,13599,1.794022500689607e-05,0.001204421860165894
30m,2.4192545366089853,3.3749560746107297,0.15598556399345398,1.0588923692703247,0.518494006912273,4.578941345214844,0.45130443572998047,13599,2.8780072170775384e-05,0.0016677920939400792
60m,1.4381163304862776,1.950727576863578,0.29365822672843933,1.034213662147522,0.5288624163541437,1.8128949403762817,0.3432997465133667,13599,2.4575298084528185e-05,0.0023957218509167433
2h,1.9421169247513947,2.6399447553518143,0.5040790438652039,1.045921802520752,0.5363629678652843,2.459613800048828,0.7459200620651245,13599,4.665935557568446e-05,0.0033681774511933327
4h,3.311340383712765,4.523841671041077,0.7065357565879822,1.0761685371398926,0.5447459372012649,9.106573104858398,3.0005111694335938,13599,0.00011352594447089359,0.004806432873010635
